Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days,Actual Transit days,Delayed Flag,Cost per mille,Cost per Kg,Cost Efficiency,Weight Category,Distance Category
SH10013,Warehouse_NYC,Phoenix,UPS,2023-12-28,2024-01-03,20.7,272.48,Delivered,1574,6,6.0,0,0.17311308767471412,13.163285024154591,45.413333333333334,Heavy,Cross-country
SH10014,Warehouse_BOS,Miami,FedEx,2023-07-24,2023-07-30,12.5,266.08,Delivered,1849,6,6.0,0,0.14390481341265549,21.2864,44.346666666666664,Medium,Cross-country
SH10015,Warehouse_DEN,Minneapolis,OnTrac,2023-05-10,2023-05-16,28.6,221.21,Delivered,1489,6,6.0,0,0.14856279382135662,7.734615384615385,36.86833333333333,Heavy,Cross-country
SH10016,Warehouse_CHI,Detroit,USPS,2023-01-25,2023-01-26,24.1,60.27,Lost,283,1,1.0,0,0.21296819787985866,2.500829875518672,60.27,Heavy,Local
SH10017,Warehouse_LA,San Francisco,OnTrac,2023-06-08,2023-06-11,43.2,80.6,In Transit,223,3,3.0,0,0.3614349775784753,1.8657407407407405,26.866666666666664,Heavy,Local
SH10018,Warehouse_ATL,Atlanta,OnTrac,2023-10-16,2023-10-25,6.3,124.52,Delivered,1055,9,9.0,0,0.11802843601895734,19.765079365079366,13.835555555555555,Medium,Cross-country
SH10019,Warehouse_MIA,Portland,DHL,2023-01-16,2023-01-21,51.2,290.72,Delivered,1660,5,5.0,0,0.17513253012048194,5.6781250000000005,58.144000000000005,Very Heavy,Cross-country
SH10020,Warehouse_MIA,Miami,FedEx,2023-08-10,2023-07-11,7.8,216.42,Delivered,1696,5,-30.0,0,0.1276061320754717,27.746153846153845,-7.2139999999999995,Medium,Cross-country
SH10021,Warehouse_SEA,Houston,LaserShip,2023-08-23,2023-08-27,29.6,216.63,Returned,1407,4,4.0,0,0.15396588486140725,7.3185810810810805,54.1575,Heavy,Cross-country
SH10022,Warehouse_CHI,San Francisco,USPS,2023-07-21,2023-07-23,15.2,67.11,Delivered,440,2,2.0,0,0.15252272727272728,4.415131578947369,33.555,Medium,Regional
SH10023,Warehouse_SEA,Los Angeles,DHL,2023-10-26,2023-10-29,22.2,228.57,Delivered,1402,3,3.0,0,0.16303138373751783,10.295945945945945,76.19,Heavy,Cross-country
SH10024,Warehouse_DEN,Phoenix,USPS,2023-08-11,2023-08-15,5.3,37.32,Delivered,256,4,4.0,0,0.14578125,7.041509433962265,9.33,Medium,Local
SH10025,Warehouse_NYC,Portland,UPS,2023-04-27,2023-04-29,40.0,124.29,Delivered,519,2,2.0,0,0.23947976878612717,3.10725,62.145,Heavy,Regional
SH10026,Warehouse_DEN,Miami,UPS,2023-12-30,2024-01-01,8.7,73.52,Delivered,386,2,2.0,0,0.1904663212435233,8.450574712643679,36.76,Medium,Regional
SH10027,Warehouse_DEN,Boston,USPS,2023-12-30,2024-01-05,10.1,309.59,Delayed,1986,5,6.0,1,0.15588620342396775,30.65247524752475,51.59833333333333,Medium,Cross-country
SH10028,Warehouse_SF,Dallas,LaserShip,2023-12-15,2023-12-20,22.8,373.64,Delivered,2229,5,5.0,0,0.1676267384477344,16.387719298245614,74.728,Heavy,International
SH10029,Warehouse_SEA,Chicago,DHL,2023-06-27,2023-07-03,13.0,347.94,Delivered,2310,6,6.0,0,0.15062337662337663,26.764615384615386,57.99,Medium,International
SH10030,Warehouse_SF,San Francisco,LaserShip,2023-11-04,,28.5,109.33,Delivered,502,2,,0,0.21778884462151393,3.836140350877193,,Heavy,Regional
SH10031,Warehouse_BOS,Dallas,OnTrac,2023-07-04,2023-07-08,30.2,162.68,Delivered,1048,4,4.0,0,0.1552290076335878,5.386754966887418,40.67,Heavy,Cross-country
SH10032,Warehouse_CHI,New York,FedEx,2023-09-27,2023-10-01,11.3,206.19,Delivered,1551,4,4.0,0,0.13294003868471954,18.246902654867256,51.5475,Medium,Cross-country
SH10033,Warehouse_SF,Denver,USPS,2023-03-26,2023-04-02,15.8,66.35,Delayed,431,2,7.0,1,0.1539443155452436,4.199367088607595,9.478571428571428,Medium,Regional
SH10034,Warehouse_SEA,Denver,OnTrac,2023-02-21,2023-02-23,10.7,76.52,Delivered,528,2,2.0,0,0.14492424242424243,7.151401869158879,38.26,Medium,Regional
SH10035,Warehouse_BOS,Dallas,OnTrac,2023-07-16,2023-07-17,37.7,55.09,Lost,131,1,1.0,0,0.4205343511450382,1.4612732095490717,55.09,Heavy,Local
SH10036,Warehouse_ATL,Los Angeles,FedEx,2023-06-02,2023-06-18,27.9,123.81,Delayed,659,3,16.0,1,0.18787556904400607,4.43763440860215,7.738125,Heavy,Regional
SH10037,Warehouse_SF,Dallas,Amazon Logistics,2023-11-06,2023-11-11,26.6,333.35,Delivered,2209,5,5.0,0,0.15090538705296516,12.531954887218046,66.67,Heavy,International
SH10038,Warehouse_SF,Detroit,LaserShip,2023-11-04,2023-11-10,30.7,282.71,Returned,1674,6,6.0,0,0.16888291517323775,9.208794788273615,47.11833333333333,Heavy,Cross-country
SH10039,Warehouse_MIA,New York,LaserShip,2023-12-08,,65.2,284.81,Delivered,1204,3,,0,0.23655315614617942,4.368251533742331,,Very Heavy,Cross-country
SH10040,Warehouse_BOS,Denver,Amazon Logistics,2023-10-04,2023-10-10,13.4,209.01,Delivered,1550,6,6.0,0,0.13484516129032256,15.59776119402985,34.835,Medium,Cross-country
SH10041,Warehouse_NYC,Los Angeles,UPS,2023-05-13,2023-05-17,31.9,263.06,Delivered,1696,4,4.0,0,0.1551061320754717,8.246394984326018,65.765,Heavy,Cross-country
SH10042,Warehouse_NYC,Los Angeles,USPS,2023-12-29,2024-01-01,37.8,129.73,Delivered,660,3,3.0,0,0.19656060606060605,3.432010582010582,43.24333333333333,Heavy,Regional
SH10043,Warehouse_SEA,New York,DHL,2023-03-09,2023-03-13,17.4,194.58,Delivered,1153,4,4.0,0,0.1687597571552472,11.182758620689658,48.645,Medium,Cross-country
SH10044,Warehouse_CHI,San Francisco,OnTrac,2023-05-08,2023-05-11,4.7,49.68,Delivered,343,3,3.0,0,0.1448396501457726,10.570212765957447,16.56,Light,Regional
SH10045,Warehouse_NYC,Miami,LaserShip,2023-04-24,2023-04-29,29.7,245.98,Delivered,1973,5,5.0,0,0.1246730866700456,8.282154882154883,49.196,Heavy,Cross-country
SH10046,Warehouse_LA,Los Angeles,DHL,2023-09-05,2023-09-11,9.0,356.77,Delivered,2335,6,6.0,0,0.15279229122055674,39.64111111111111,59.461666666666666,Medium,International
SH10047,Warehouse_SF,Dallas,USPS,2023-01-17,2023-01-20,25.4,127.22,Delivered,816,3,3.0,0,0.15590686274509805,5.008661417322835,42.406666666666666,Heavy,Regional
SH10048,Warehouse_SF,Phoenix,LaserShip,2023-04-23,2023-04-30,14.2,248.03,Delivered,1758,7,7.0,0,0.14108646188850968,17.466901408450706,35.432857142857145,Medium,Cross-country
SH10049,Warehouse_MIA,Boston,UPS,2023-01-07,2023-01-11,84.1,251.24,Delivered,1010,4,4.0,0,0.24875247524752475,2.9873959571938173,62.81,Very Heavy,Cross-country
SH10050,Warehouse_MIA,New York,FedEx,2023-08-06,2023-08-22,29.5,340.07,Delayed,2396,6,16.0,1,0.14193238731218696,11.52779661016949,21.254375,Heavy,International
SH10051,Warehouse_SEA,Minneapolis,USPS,2023-02-23,2023-02-28,19.6,156.03,Delivered,1267,5,5.0,0,0.12314917127071823,7.960714285714285,31.206,Medium,Cross-country
SH10052,Warehouse_BOS,Chicago,Amazon Logistics,2023-01-27,2023-02-01,25.9,206.17,Delivered,1365,5,5.0,0,0.15104029304029304,7.96023166023166,41.233999999999995,Heavy,Cross-country
SH10053,Warehouse_BOS,Dallas,UPS,2023-02-18,2023-02-23,26.6,277.97,Delivered,1847,5,5.0,0,0.15049810503519223,10.450000000000001,55.59400000000001,Heavy,Cross-country
SH10054,Warehouse_DEN,Minneapolis,LaserShip,2023-05-11,2023-05-17,31.6,283.13,Delivered,2249,6,6.0,0,0.12589150733659404,8.959810126582278,47.18833333333333,Heavy,International
SH10055,Warehouse_CHI,Chicago,OnTrac,2023-09-27,2023-09-30,24.7,68.63,Delivered,342,3,3.0,0,0.20067251461988303,2.7785425101214574,22.876666666666665,Heavy,Regional
SH10056,Warehouse_SF,Minneapolis,LaserShip,2023-04-14,2023-04-19,23.2,231.64,Delivered,1913,5,5.0,0,0.12108729743857814,9.98448275862069,46.327999999999996,Heavy,Cross-country
SH10057,Warehouse_HOU,Los Angeles,LaserShip,2023-10-26,2023-10-29,6.8,42.06,Lost,255,3,3.0,0,0.16494117647058826,6.185294117647059,14.020000000000001,Medium,Local
SH10058,Warehouse_SF,Los Angeles,USPS,2023-10-11,2023-10-13,8.9,78.37,Delivered,600,2,2.0,0,0.1306166666666667,8.80561797752809,39.185,Medium,Regional
SH10059,Warehouse_BOS,San Francisco,OnTrac,2023-11-01,2023-11-06,28.5,128.94,Delivered,622,5,5.0,0,0.20729903536977493,4.524210526315789,25.788,Heavy,Regional
SH10060,Warehouse_HOU,Denver,OnTrac,2023-10-10,2023-10-13,59.8,196.89,Delivered,1030,3,3.0,0,0.19115533980582522,3.2924749163879596,65.63,Very Heavy,Cross-country
SH10061,Warehouse_ATL,Chicago,LaserShip,2023-08-04,2023-08-07,9.8,93.3,Delivered,708,3,3.0,0,0.13177966101694916,9.520408163265305,31.099999999999998,Medium,Regional
SH10062,Warehouse_SEA,Detroit,FedEx,2023-05-23,2023-06-10,61.9,316.41,Delayed,1914,5,18.0,1,0.16531347962382448,5.111631663974152,17.578333333333333,Very Heavy,Cross-country
SH10063,Warehouse_BOS,Los Angeles,UPS,2023-07-16,2023-07-19,25.6,128.53,Delivered,740,3,3.0,0,0.17368918918918919,5.020703125,42.843333333333334,Heavy,Regional
SH10064,Warehouse_CHI,Los Angeles,UPS,2023-10-13,2023-10-16,67.6,232.32,Delivered,1007,3,3.0,0,0.23070506454816286,3.4366863905325444,77.44,Very Heavy,Cross-country
SH10065,Warehouse_LA,Miami,LaserShip,2023-04-23,2023-04-27,50.3,152.13,Delivered,864,4,4.0,0,0.17607638888888888,3.0244532803180917,38.0325,Very Heavy,Regional
SH10066,Warehouse_SF,Miami,Amazon Logistics,2023-04-03,2023-04-09,15.9,325.16,Delivered,2463,6,6.0,0,0.13201786439301666,20.450314465408805,54.193333333333335,Medium,International
SH10067,Warehouse_SEA,Seattle,DHL,2023-06-11,2023-06-14,42.3,195.98,Delivered,998,3,3.0,0,0.19637274549098196,4.633096926713948,65.32666666666667,Heavy,Regional
SH10068,Warehouse_SEA,Atlanta,FedEx,2023-09-01,2023-09-09,26.2,261.81,Delivered,1801,8,8.0,0,0.14536923931149362,9.992748091603055,32.72625,Heavy,Cross-country
SH10069,Warehouse_SEA,Houston,FedEx,2023-05-31,2023-06-04,35.7,180.2,Delivered,989,4,4.0,0,0.18220424671385235,5.047619047619047,45.05,Heavy,Regional
SH10070,Warehouse_HOU,Chicago,DHL,2023-04-17,2023-04-26,6.9,56.51,Delayed,383,3,9.0,1,0.14754569190600522,8.189855072463768,6.278888888888889,Medium,Regional
SH10071,Warehouse_CHI,Seattle,OnTrac,2023-06-20,2023-06-25,30.7,,Delivered,2307,5,5.0,0,,,,Heavy,International
SH10072,Warehouse_NYC,Los Angeles,LaserShip,2023-03-04,2023-03-13,10.8,225.74,Delayed,1727,6,9.0,1,0.13071221771858715,20.901851851851852,25.082222222222224,Medium,Cross-country
SH10073,Warehouse_LA,Seattle,USPS,2023-09-11,2023-09-14,0.6,199.78,In Transit,1135,3,3.0,0,0.17601762114537445,332.9666666666667,66.59333333333333,Light,Cross-country
SH10074,Warehouse_MIA,Phoenix,UPS,2023-02-27,2023-03-02,93.0,221.01,Delivered,757,3,3.0,0,0.2919550858652576,2.376451612903226,73.67,Very Heavy,Regional
SH10075,Warehouse_HOU,Dallas,OnTrac,2023-07-31,2023-08-04,35.3,261.49,Delivered,1673,4,4.0,0,0.15630005977286313,7.407648725212465,65.3725,Heavy,Cross-country
SH10076,Warehouse_DEN,Houston,Amazon Logistics,2023-11-12,2023-11-13,25.4,85.28,Delivered,319,1,1.0,0,0.26733542319749215,3.3574803149606303,85.28,Heavy,Regional
SH10077,Warehouse_CHI,Seattle,USPS,2023-07-31,2023-08-02,20.8,130.21,Lost,994,2,2.0,0,0.1309959758551308,6.260096153846154,65.105,Heavy,Regional
SH10078,Warehouse_LA,Portland,UPS,2023-11-29,2023-12-02,10.9,119.38,Delivered,612,3,3.0,0,0.19506535947712417,10.952293577981651,39.79333333333333,Medium,Regional
SH10079,Warehouse_SF,Detroit,UPS,2023-06-30,2023-07-10,22.4,309.17,Delayed,2214,7,10.0,1,0.139643179765131,13.802232142857145,30.917,Heavy,International
SH10080,Warehouse_LA,Los Angeles,LaserShip,2023-04-04,2023-04-07,15.1,152.16,Delivered,1051,3,3.0,0,0.14477640342530923,10.07682119205298,50.72,Medium,Cross-country
SH10081,Warehouse_SF,New York,DHL,2023-03-14,2023-03-19,22.9,289.37,Delivered,1714,5,5.0,0,0.16882730455075845,12.636244541484718,57.874,Heavy,Cross-country
SH10082,Warehouse_CHI,Denver,OnTrac,2023-05-07,2023-05-09,14.1,144.14,Delivered,1000,2,2.0,0,0.14414,10.222695035460992,72.07,Medium,Regional
SH10083,Warehouse_SF,Phoenix,LaserShip,2023-11-04,2023-11-12,9.3,333.26,Delivered,2210,8,8.0,0,0.15079638009049773,35.83440860215053,41.6575,Medium,International
SH10084,Warehouse_CHI,Atlanta,FedEx,2023-07-02,2023-07-06,22.9,233.89,Delivered,1510,4,4.0,0,0.15489403973509933,10.21353711790393,58.4725,Heavy,Cross-country
SH10085,Warehouse_CHI,Los Angeles,UPS,2023-04-06,2023-04-12,31.7,282.19,Delivered,1777,6,6.0,0,0.15880135059088352,8.901892744479495,47.031666666666666,Heavy,Cross-country
SH10086,Warehouse_SEA,Minneapolis,DHL,2023-11-22,2023-11-29,13.5,422.32,Delivered,2388,7,7.0,0,0.1768509212730318,31.282962962962962,60.33142857142857,Medium,International
SH10087,Warehouse_CHI,Chicago,OnTrac,2023-11-21,2023-11-30,17.1,214.99,Delayed,1284,4,9.0,1,0.16743769470404984,12.57251461988304,23.887777777777778,Medium,Cross-country
SH10088,Warehouse_HOU,Miami,USPS,2023-06-21,2023-06-24,37.0,184.07,Delivered,1198,3,3.0,0,0.15364774624373956,4.974864864864864,61.35666666666666,Heavy,Cross-country
SH10089,Warehouse_NYC,Portland,LaserShip,2023-11-10,2023-11-14,127.8,247.54,Delivered,1482,4,4.0,0,0.1670310391363023,1.9369327073552425,61.885,Very Heavy,Cross-country
SH10090,Warehouse_MIA,Chicago,OnTrac,2023-01-27,2023-01-29,10.8,83.32,Returned,530,2,2.0,0,0.1572075471698113,7.7148148148148135,41.66,Medium,Regional
SH10091,Warehouse_ATL,Los Angeles,Amazon Logistics,2023-11-28,2023-12-09,8.5,151.64,Delayed,920,4,11.0,1,0.16482608695652173,17.84,13.785454545454543,Medium,Regional
SH10092,Warehouse_DEN,Los Angeles,LaserShip,2023-04-26,2023-05-01,16.0,277.61,Delivered,1950,5,5.0,0,0.14236410256410256,17.350625,55.522000000000006,Medium,Cross-country
SH10093,Warehouse_MIA,Houston,UPS,2023-03-03,2023-03-08,32.9,337.04,Delivered,2233,5,5.0,0,0.150935960591133,10.24437689969605,67.408,Heavy,International
SH10094,Warehouse_ATL,San Francisco,OnTrac,2023-04-17,2023-04-24,29.5,167.82,Delivered,1022,7,7.0,0,0.16420743639921723,5.688813559322034,23.974285714285713,Heavy,Cross-country
SH10095,Warehouse_MIA,Detroit,Amazon Logistics,2023-07-01,2023-07-04,18.6,191.08,Delivered,1447,3,3.0,0,0.1320525224602626,10.273118279569893,63.693333333333335,Medium,Cross-country
SH10096,Warehouse_MIA,Atlanta,DHL,2023-08-20,2023-08-21,9.6,42.77,Delivered,241,1,1.0,0,0.1774688796680498,4.455208333333334,42.77,Medium,Local
SH10097,Warehouse_MIA,Atlanta,Amazon Logistics,2023-09-19,,80.4,259.98,Delivered,1554,5,,0,0.1672972972972973,3.2335820895522387,,Very Heavy,Cross-country
SH10098,Warehouse_BOS,Miami,OnTrac,2023-05-10,2023-05-15,11.1,273.63,Delivered,2053,5,5.0,0,0.13328300048709205,24.65135135135135,54.726,Medium,International
SH10099,Warehouse_SEA,Phoenix,LaserShip,2023-07-18,2023-07-21,14.6,141.34,Delivered,1158,3,3.0,0,0.1220552677029361,9.68082191780822,47.11333333333334,Medium,Cross-country
SH10100,Warehouse_CHI,Atlanta,Amazon Logistics,2023-04-10,2023-04-17,11.9,277.05,Delivered,2109,7,7.0,0,0.13136557610241822,23.281512605042018,39.57857142857143,Medium,International
SH10101,Warehouse_DEN,Miami,LaserShip,2023-08-28,2023-08-30,51.0,,Delivered,179,2,2.0,0,,,,Very Heavy,Local
SH10102,Warehouse_BOS,Houston,DHL,2023-07-17,2023-07-24,8.6,352.85,Delivered,2465,7,7.0,0,0.14314401622718054,41.02906976744187,50.40714285714286,Medium,International
SH10103,Warehouse_BOS,New York,Amazon Logistics,2023-01-14,2023-01-25,6.3,283.56,Delivered,2366,11,11.0,0,0.11984784446322908,45.00952380952381,25.778181818181817,Medium,International
SH10104,Warehouse_SEA,New York,FedEx,2023-12-13,2023-12-16,16.6,121.29,Delivered,543,3,3.0,0,0.22337016574585636,7.306626506024096,40.43,Medium,Regional
SH10105,Warehouse_MIA,New York,DHL,2023-04-23,2023-05-06,40.7,270.27,Delayed,1682,6,13.0,1,0.16068370986920333,6.64054054054054,20.79,Heavy,Cross-country
SH10106,Warehouse_HOU,Denver,OnTrac,2023-08-19,2023-08-22,22.6,149.52,Delivered,1030,3,3.0,0,0.14516504854368933,6.615929203539823,49.84,Heavy,Cross-country
SH10107,Warehouse_NYC,Chicago,UPS,2023-07-30,2023-08-02,44.3,140.74,Delivered,790,3,3.0,0,0.17815189873417722,3.176975169300226,46.913333333333334,Heavy,Regional
SH10108,Warehouse_MIA,Minneapolis,LaserShip,2023-08-15,2023-08-19,12.8,198.31,Delivered,1534,4,4.0,0,0.12927640156453715,15.49296875,49.5775,Medium,Cross-country
SH10109,Warehouse_DEN,Phoenix,LaserShip,2023-12-13,,16.5,73.12,Delivered,371,2,,0,0.197088948787062,4.431515151515152,,Medium,Regional
SH10110,Warehouse_CHI,Houston,DHL,2023-09-22,2023-09-29,46.1,409.06,Delivered,2306,7,7.0,0,0.17738941890719861,8.873318872017354,58.43714285714286,Heavy,International
SH10111,Warehouse_SF,New York,FedEx,2023-05-24,2023-05-29,19.2,273.26,Delivered,1810,5,5.0,0,0.15097237569060773,14.232291666666667,54.652,Medium,Cross-country
SH10112,Warehouse_HOU,Chicago,Amazon Logistics,2023-02-02,2023-02-16,7.6,41.42,Delayed,277,2,14.0,1,0.1495306859205776,5.45,2.9585714285714286,Medium,Local
SH10113,Warehouse_CHI,Chicago,USPS,2023-06-07,2023-06-13,38.1,272.16,Delivered,1953,6,6.0,0,0.13935483870967744,7.143307086614174,45.36000000000001,Heavy,Cross-country
SH10114,Warehouse_SF,Los Angeles,FedEx,2023-04-03,2023-03-04,23.2,270.43,Delivered,1800,4,-30.0,0,0.1502388888888889,11.65646551724138,-9.014333333333333,Heavy,Cross-country
SH10115,Warehouse_NYC,Portland,LaserShip,2023-07-20,2023-07-25,22.8,267.89,Delivered,1951,5,5.0,0,0.13730907227063044,11.749561403508771,53.577999999999996,Heavy,Cross-country
SH10116,Warehouse_BOS,Houston,FedEx,2023-01-05,2023-01-12,18.8,249.35,Delivered,1744,7,7.0,0,0.14297591743119265,13.263297872340425,35.621428571428574,Medium,Cross-country
SH10117,Warehouse_CHI,Minneapolis,Amazon Logistics,2023-05-18,2023-05-22,14.0,171.55,Delivered,1323,4,4.0,0,0.1296674225245654,12.25357142857143,42.8875,Medium,Cross-country
SH10118,Warehouse_DEN,Denver,OnTrac,2023-03-24,2023-04-01,17.6,215.18,Delayed,1646,4,8.0,1,0.13072904009720535,12.226136363636362,26.8975,Medium,Cross-country
SH10119,Warehouse_DEN,Minneapolis,DHL,2023-07-10,2023-07-11,21.6,64.74,Delivered,261,1,1.0,0,0.24804597701149422,2.997222222222222,64.74,Heavy,Local
SH10120,Warehouse_SEA,Denver,Amazon Logistics,2023-09-26,2023-10-02,8.2,278.34,Delivered,2330,6,6.0,0,0.11945922746781115,33.94390243902439,46.38999999999999,Medium,International
SH10121,Warehouse_CHI,Houston,FedEx,2023-03-06,2023-03-11,25.1,165.41,Delivered,973,5,5.0,0,0.16999999999999998,6.590039840637449,33.082,Heavy,Regional
SH10122,Warehouse_HOU,New York,Amazon Logistics,2023-05-18,2023-05-25,14.4,280.59,Delivered,2399,7,7.0,0,0.11696123384743642,19.485416666666666,40.08428571428571,Medium,International
SH10123,Warehouse_ATL,Phoenix,OnTrac,2023-08-10,2023-08-14,50.1,210.77,Delivered,1297,4,4.0,0,0.16250578257517348,4.206986027944112,52.6925,Very Heavy,Cross-country
SH10124,Warehouse_ATL,San Francisco,USPS,2023-04-05,2023-04-11,20.3,150.38,Delivered,1200,6,6.0,0,0.12531666666666666,7.407881773399014,25.063333333333333,Heavy,Cross-country
SH10125,Warehouse_CHI,Miami,USPS,2023-06-28,2023-07-02,11.8,180.52,Delivered,1350,4,4.0,0,0.13371851851851851,15.298305084745763,45.13,Medium,Cross-country
SH10126,Warehouse_SEA,Miami,UPS,2023-09-02,2023-09-09,90.2,384.64,Delivered,2188,7,7.0,0,0.17579524680073125,4.26430155210643,54.94857142857143,Very Heavy,International
SH10127,Warehouse_LA,Miami,UPS,2023-10-05,2023-10-13,30.1,156.74,Delivered,1075,8,8.0,0,0.1458046511627907,5.2073089700996675,19.5925,Heavy,Cross-country
SH10128,Warehouse_BOS,Miami,LaserShip,2023-10-18,2023-10-27,3.2,159.82,Delivered,1260,9,9.0,0,0.12684126984126984,49.943749999999994,17.757777777777775,Light,Cross-country
SH10129,Warehouse_MIA,Miami,LaserShip,2023-04-17,2023-04-22,31.9,260.72,Delivered,1926,5,5.0,0,0.1353686396677051,8.173040752351099,52.144000000000005,Heavy,Cross-country
SH10130,Warehouse_MIA,Phoenix,LaserShip,2023-12-01,2023-12-06,15.1,321.82,Delivered,2204,5,5.0,0,0.146016333938294,21.312582781456953,64.364,Medium,International
SH10131,Warehouse_SF,Seattle,OnTrac,2023-05-26,2023-06-02,19.2,253.39,Returned,2048,7,7.0,0,0.1237255859375,13.197395833333333,36.19857142857143,Medium,International
SH10132,Warehouse_DEN,San Francisco,DHL,2023-07-07,,8.4,,Delivered,815,3,,0,,,,Medium,Regional
SH10133,Warehouse_NYC,Atlanta,UPS,2023-12-23,2023-12-26,26.4,186.75,Delivered,870,3,3.0,0,0.21465517241379312,7.073863636363637,62.25,Heavy,Regional
SH10134,Warehouse_SF,Portland,LaserShip,2023-01-03,2023-01-10,24.4,313.23,Delivered,2314,7,7.0,0,0.13536300777873814,12.837295081967214,44.74714285714286,Heavy,International
SH10135,Warehouse_LA,San Francisco,DHL,2023-09-16,2023-09-19,59.4,234.64,Delivered,1070,3,3.0,0,0.21928971962616822,3.95016835016835,78.21333333333332,Very Heavy,Cross-country
SH10136,Warehouse_CHI,Miami,FedEx,2023-11-04,2023-11-10,15.9,257.13,Delivered,1350,6,6.0,0,0.19046666666666667,16.171698113207547,42.855,Medium,Cross-country
SH10137,Warehouse_DEN,Boston,Amazon Logistics,2023-02-10,2023-02-14,17.5,208.17,Delivered,1476,4,4.0,0,0.14103658536585365,11.895428571428571,52.0425,Medium,Cross-country
SH10138,Warehouse_NYC,Houston,OnTrac,2023-11-08,2023-11-11,66.5,199.04,Delivered,672,3,3.0,0,0.29619047619047617,2.9930827067669172,66.34666666666666,Very Heavy,Regional
SH10139,Warehouse_CHI,Houston,USPS,2023-03-10,2023-03-13,19.4,169.99,Delivered,1300,3,3.0,0,0.13076153846153846,8.76237113402062,56.663333333333334,Medium,Cross-country
SH10140,Warehouse_SEA,Portland,USPS,2023-12-02,2023-12-04,48.0,133.98,Delivered,593,2,2.0,0,0.22593591905564922,2.79125,66.99,Heavy,Regional
SH10141,Warehouse_BOS,Chicago,USPS,2023-10-15,2023-10-20,18.4,237.17,Delivered,1939,5,5.0,0,0.12231562661165549,12.88967391304348,47.434,Medium,Cross-country
SH10142,Warehouse_NYC,Chicago,OnTrac,2023-01-06,2023-01-09,38.9,137.82,Delivered,790,3,3.0,0,0.17445569620253162,3.54293059125964,45.94,Heavy,Regional
SH10143,Warehouse_LA,San Francisco,OnTrac,2023-02-05,2023-02-12,36.6,310.16,Delivered,2497,7,7.0,0,0.12421305566680017,8.474316939890711,44.30857142857143,Heavy,International
SH10144,Warehouse_SEA,New York,USPS,2023-05-05,2023-05-07,19.2,81.43,Delivered,510,2,2.0,0,0.15966666666666668,4.241145833333334,40.715,Medium,Regional
SH10145,Warehouse_HOU,Atlanta,UPS,2023-07-03,2023-07-10,23.4,142.13,Delayed,800,3,7.0,1,0.1776625,6.073931623931624,20.304285714285715,Heavy,Regional
